text_number	file_name	file_path	segment_start	segment_end	segment_text
a06-119	a06-119.png	/084/a06-119.png	718	893	Note circulation soared for the
a06-119	a06-119.png	/084/a06-119.png	901	1070	sixth successive week - this
a06-119	a06-119.png	/084/a06-119.png	1077	1250	time by more than 15,000,000 last
a06-119	a06-119.png	/084/a06-119.png	1259	1432	week. And that brought the figure
a06-119	a06-119.png	/084/a06-119.png	1438	1614	to a record 2,415,000,000. This was
a06-119	a06-119.png	/084/a06-119.png	1623	1796	100,000,000 more than the corresponding
a06-119	a06-119.png	/084/a06-119.png	1798	1973	week last year and 37,000,000 up on
a06-119	a06-119.png	/084/a06-119.png	1979	2149	the 1960 record set last Christmas.
a06-119	a06-119.png	/084/a06-119.png	2153	2330	Now look at the other side of all
a06-119	a06-119.png	/084/a06-119.png	2353	2492	these coins.
a06-128	a06-128.png	/084/a06-128.png	717	891	Banks have paid in a first
a06-128	a06-128.png	/084/a06-128.png	899	1073	instalment of almost 8,000,000
a06-128	a06-128.png	/084/a06-128.png	1077	1255	in response to the Budgette appeal.
a06-128	a06-128.png	/084/a06-128.png	1255	1428	About another 70,000,000 is due
a06-128	a06-128.png	/084/a06-128.png	1430	1606	by September 20. For nearly a year
a06-128	a06-128.png	/084/a06-128.png	1606	1783	about 150,000,000 has been frozen.
a06-128	a06-128.png	/084/a06-128.png	1783	1966	MR. KRUSCHEV raises the bogy of
a06-128	a06-128.png	/084/a06-128.png	1970	2142	German militarism in his replies to
a06-128	a06-128.png	/084/a06-128.png	2146	2322	the West on Berlin. And he repeats
a06-128	a06-128.png	/084/a06-128.png	2328	2501	that the problem ”must be solved
a06-128	a06-128.png	/084/a06-128.png	2515	2645	this year.”
a01-043	a01-043x.png	/011/a01-043x.png	798	1016	Informal talks at Lancaster House will resume
a01-043	a01-043x.png	/011/a01-043x.png	1016	1196	today. PRESIDENT KENNEDY today defended
a01-043	a01-043x.png	/011/a01-043x.png	1196	1375	the appointment of a Negro as his Housing Minister.
a01-043	a01-043x.png	/011/a01-043x.png	1375	1549	It has aroused strong opposition from the anti-Negro
a01-043	a01-043x.png	/011/a01-043x.png	1549	1731	senators of the Deep South. The negro is Mr.
a01-043	a01-043x.png	/011/a01-043x.png	1731	1909	Robert Weaver of New York. One of his tasks
a01-043	a01-043x.png	/011/a01-043x.png	1909	2086	will be to see there is no racial discrimination
a01-043	a01-043x.png	/011/a01-043x.png	2086	2277	in Government and State housing projects.
a01-038	a01-038x.png	/011/a01-038x.png	793	1015	Mr. Macleod thought the two Rhodesian
a01-038	a01-038x.png	/011/a01-038x.png	1015	1199	parties had refused to attend the talks because Sir Roy
a01-038	a01-038x.png	/011/a01-038x.png	1199	1380	had found messages sent from the Government were
a01-038	a01-038x.png	/011/a01-038x.png	1380	1563	”unsatisfactory.” African delegates to the talks yesterday
a01-038	a01-038x.png	/011/a01-038x.png	1563	1726	called on Mr. Macmillan to cease his negotiations with
a01-038	a01-038x.png	/011/a01-038x.png	1726	1909	Sir Roy’s representative, Mr. Julius Greenfield. He was
a01-038	a01-038x.png	/011/a01-038x.png	1909	2100	at Chequers last week-end. They said they regarded
a01-038	a01-038x.png	/011/a01-038x.png	2100	2277	with ”growing anger” the ”gross and unconstitutional”
a01-038	a01-038x.png	/011/a01-038x.png	2277	2462	interference by Sir Roy’s Federal Government in the talks.
a02-078	a02-078.png	/034/a02-078.png	769	960	SIR Roy Welensky said today that he no
a02-078	a02-078.png	/034/a02-078.png	960	1138	longer accepted the good faith of Mr. Kenneth
a02-078	a02-078.png	/034/a02-078.png	1138	1315	Kaunda. Sir Roy, Federal Rhodesian Prime Minister,
a02-078	a02-078.png	/034/a02-078.png	1315	1496	said that Mr. Kaunda’s United National Independence
a02-078	a02-078.png	/034/a02-078.png	1496	1670	Party was a monster as vicious as the Zambia
a02-078	a02-078.png	/034/a02-078.png	1670	1854	National Congress, which was led by Mr. Kaunda
a02-078	a02-078.png	/034/a02-078.png	1854	2022	until he was outlawed in 1959. The record
a02-078	a02-078.png	/034/a02-078.png	2022	2205	of lawlessness among UNIP supporters went
a02-078	a02-078.png	/034/a02-078.png	2205	2382	back a long way, Sir Roy told the
a02-078	a02-078.png	/034/a02-078.png	2382	2574	Federal Parliament in Salisbury.
a01-107	a01-107.png	/018/a01-107.png	669	857	„We believe that a comprehensive medical service, free to the patient
a01-107	a01-107.png	/018/a01-107.png	857	1034	at the point of need and with one standard for all sick
a01-107	a01-107.png	/018/a01-107.png	1034	1216	people, is good and attainable. „We remain for it. But the Tories
a01-107	a01-107.png	/018/a01-107.png	1216	1393	never were.“ Interrupted by angry Tories, Mr. Brown retorted:
a01-107	a01-107.png	/018/a01-107.png	1393	1583	„The jackals bay when there is nothing better they can do.“
a01-113	a01-113.png	/018/a01-113.png	901	1085	He told them that their conception of social services was wholly
a01-113	a01-113.png	/018/a01-113.png	1085	1259	different - fundamentally different from that of Labour. They
a01-113	a01-113.png	/018/a01-113.png	1259	1437	would provide an ambulance service for the absolutely
a01-113	a01-113.png	/018/a01-113.png	1437	1619	wretched - but it would not be too comfortable nor too easy to
a01-113	a01-113.png	/018/a01-113.png	1619	1800	get. Answering jeers that it was Labour which first put a
a01-113	a01-113.png	/018/a01-113.png	1800	1973	ceiling on health spending and started charges, Mr. Brown
a01-113	a01-113.png	/018/a01-113.png	1973	2155	reminded the hostile Government benches that was
a01-113	a01-113.png	/018/a01-113.png	2172	2327	done in 1950 because of the financial strain of
